Date,Type,Tx,Buy,Sell,BuyUnits,SellUnits
2018-10-18T17:37:15.000Z,Withdrawal,0x82e7db6f43dd822b0aaad0eaa0e9595a684c6b5518eb2de9013d54cfa98f6f14,,DIP,,540000
2018-10-20T14:03:28.000Z,Deposit,0xf01631a3f2083bebf163543bc399c7a0daeb7c3e44a8afc7335542d345da1f72,ETH,,572,
2018-10-21T02:50:10.000Z,Deposit,0xc01b7fe7f7db7001d2bf988f7ca6e39b093211e2117701c39aff22d5839146db,ETH,,5.44274,
2018-10-21T16:02:51.000Z,Deposit,0x685af74f30456c52e1458b53f07ab5d1383bc2747def5e5b5a556ec914bc8673,ETH,,129,
2018-10-23T20:48:21.000Z,Withdrawal,0xf544ce7f8d9e4c5cc55d62226faf25a4d4b9ca605728641ddb1fde5d4c718749,,ETH,,0.6
2018-11-04T16:30:24.000Z,Withdrawal,0xaf4edc07fec6c4218e8ad247722fd881c9daf023f6cb7ccb0d488e393f207546,,ETH,,0.09728
2018-11-10T10:57:38.000Z,Withdrawal,0x58520c052677433c962ef314266d3c5f80b224ea8b472561e44f300c1b4df45f,,ETH,,132
2018-11-16T19:30:45.000Z,Withdrawal,0x86173cc03ec94ac5ab83c4e7926c940ac6de3366c2c432cb73e195b87944cb99,,ETH,,200
2018-11-26T22:17:32.000Z,Withdrawal,0xa5af1f3d1cdd369236f5b013c8f62ddd3578814d3ff56bee0ac43717d5df0ed8,,ETH,,400
2018-12-02T07:57:21.000Z,Withdrawal,0x0aab2f5a7c072b1b135bf43f118b29f9f328c8709942bfe85dd06c5281c590c0,,ETH,,400
2018-12-05T18:10:25.000Z,Withdrawal,0x966365bf50058414b944fc318699cbf5b993fd36a5409d03fa0987be224d8989,,ETH,,200
2018-12-06T18:57:24.000Z,Withdrawal,0xebcde4eb496dac4e4eb2d26c7409c4b753e946174bccd4b6e3ff6e3370d89a5b,,ETH,,200
2018-12-07T17:13:03.000Z,Deposit,0x9d655dbf3d0dead9b4b2ba3ada21d8c7657f4fc356616e6370cdefe3405828f3,USDC,,119.968512,
2018-12-11T23:34:00.000Z,Deposit,0xc61f4434b834a5940584a90c945069de8becfe4cb95bdd971c526901de18e1e1,FOAM,,3000000,
2018-12-12T00:18:22.000Z,Withdrawal,0x147eeb2cdbf016e39cd7133e4b6732a06b5203a4e05b9c28fe4d9e3efa0b786a,,FOAM,,1000000
2018-12-12T04:00:35.000Z,Withdrawal,0x23a14287c5468220b3c1836ed6607d89833a625c86000be40533ad9362f77f9a,,FOAM,,2000000
2018-12-13T14:40:58.000Z,Deposit,0x43ead970582c92fdefb05fd07af9e3afb118b44bb2a786e3111d1c7ec46fb131,FOAM,,3883517,
2018-12-17T20:56:09.000Z,Withdrawal,0x8404ce4e9ddfba9328fc380f2e7e951a3742a552b808a60863e56683bf5ac68a,,ETH,,500
2018-12-23T04:01:26.000Z,Withdrawal,0xa28ae022d1b48114d4d9d912ab08001c15ecb8d58e3cb51174a8fb957e52bdb8,,ETH,,500
2018-12-25T15:31:52.000Z,Withdrawal,0x7e887990a0b3b10884182e0459cd69817d0e678233166ec296f3c2c2474e95e3,,ETH,,100
2018-12-28T00:01:36.000Z,Withdrawal,0x5a5c1f4189dda168f899c7520f80b23d9a0cb269e0f4766876bada8732c25cc7,,ETH,,0.46
2019-01-01T22:20:08.000Z,Withdrawal,0x8040ae70f83e002b0dd3c66899d293b0d6ec99db127fd52a4ea1a3042bd2c48d,,ETH,,500
2019-01-04T17:39:56.000Z,Withdrawal,0x231d4032b822dfcce5aa038cf8e12db2d29aeadf0f8619ac4ce5a75a15b8c1f5,,ETH,,250
2019-01-08T14:23:10.000Z,Withdrawal,0xcf6350600b9b356a0fb97f498a814411c799e278a143fc996cd6f3d1abd49618,,ETH,,355
2019-01-08T14:33:41.000Z,Deposit,0xbad43f400d48101e288fea597ee8e64358658571691efe6a461757ac0f6cee96,ETH,,980,
2019-01-09T10:30:29.000Z,Withdrawal,0xdbf2454ab66956f5417603c7dff23b49ff054c47e27d544dd809883667789617,,ETH,,480
2019-01-10T16:08:43.000Z,Deposit,0x6095d3bdea51e5349043a7aa300fed64f57284c47507ebfae412c9319996da08,ETH,,2450,
2019-01-11T23:49:27.000Z,Withdrawal,0x9d3242657f0ac9f88e8d0be5156c783c80ba53efd8af89bf60118e8e750bd710,,ETH,,1500
2019-01-14T23:14:49.000Z,Withdrawal,0xd66b633abb5db77c98dc0306d5addc6bacdca11d28f9a0960723867ee9378eb2,,ETH,,10
2019-01-14T23:17:39.000Z,Deposit,0x17210cff0903843f49be5ffe2357bdb70bcb58533e666da503d0babad6b6f12a,ETH,,9.99,
2019-01-18T01:07:39.000Z,Withdrawal,0x2338204d7beff36031fda56c928374fe09a69af341ac144da95e16df828e2abf,,ETH,,1200
2019-01-25T18:45:27.000Z,Withdrawal,0x70663b51aab18e1c7e1fe0b47cb41f87d86d98118cd6463816e479a961a79c3a,,ETH,,8
2019-01-28T15:01:03.000Z,Deposit,0xf8baf82ed7c24464012b2dc7c65cfef615b5eaf81abcb31e8db2507deb2a3d28,ETH,,481,
2019-01-31T21:54:54.000Z,Withdrawal,0xf54c696ac8109e651fada58fb8dc9944b757e36cae2e52da15382c9337335742,,ETH,,500
2019-02-14T20:02:01.000Z,Withdrawal,0xcf18bda8d5a54774f6b64a2bcc704fcfeb14cfdde34073119208e6532f20eea8,,ETH,,1200
2019-02-16T15:12:01.000Z,Withdrawal,0x8767a770d76671133ec9ab5e8a6bc1ffef689b8f660311e1cbff8bf2ad399583,,ETH,,2
